hrg_code,hrg_description
AA02C,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 10+"
AA02D,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9"
AA02E,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5"
AA02F,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2"
AA03C,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+"
AA03D,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3"
AA04C,"Major Intracranial Procedures Except Trauma with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 6+"
AA04D,"Major Intracranial Procedures Except Trauma with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5"
AA05C,"Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders, with CC Score 4+"
AA05D,"Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-3"
AA06C,"Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 9+"
AA06D,"Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 6-8"
AA06E,"Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 3-5"
AA06F,"Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 0-2"
AA07C,"Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+"
AA07D,"Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1"
AA08C,"Major Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC Score 2+"
AA08D,"Major Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC Score 0-1"
AA09C,Major Intracranial Procedures Except Trauma with Other Diagnoses with CC Score 6+
AA09D,Major Intracranial Procedures Except Trauma with Other Diagnoses with CC Score 3-5
AA09E,Major Intracranial Procedures Except Trauma with Other Diagnoses with CC Score 0-2
AA10Z,"Intermediate Intracranial Procedures Except Trauma with Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA11Z,Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders
AA12C,"Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 6+"
AA12D,"Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 3-5"
AA12E,"Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 0-2"
AA13C,Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+
AA13D,Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2
AA14Z,"Intermediate Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy"
AA15C,"Intermediate Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 4+"
AA15D,"Intermediate Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 2-3"
AA15E,"Intermediate Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 0-1"
AA16Z,"Minor Intracranial Procedures Except Trauma with Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA17C,"Minor Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+"
AA17D,"Minor Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4"
AA18C,"Minor Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 3+"
AA18D,"Minor Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC Score 0-2"
