hrg_root,hrg_root_description
AA02,Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury
AA03,Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture
AA04,"Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy - category 4"
AA05,Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders - category 4
AA06,Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts - category 4
AA07,Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System - category 4
AA08,"Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy - category 4"
AA09,Intracranial Procedures Except Trauma with Other Diagnoses - category 4
AA10,"Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy - category 3"
AA11,Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders - category 3
AA12,Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts - category 3
AA13,Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System - category 3
AA14,"Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy - category 3"
AA15,Intracranial Procedures Except Trauma with Other Diagnoses - category 3
AA16,"Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy - category 1 or 2"
AA17,Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders - category 1 or 2
AA18,Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts - category 1 or 2
AA19,Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System - category 1 or 2
AA20,"Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy - category 1 or 2"
AA21,Intracranial Procedures Except Trauma with Other Diagnoses - category 1 or 2
AA22,"Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA23,Haemorrhagic Cerebrovascular Disorders
AA24,Brain Tumours or Cerebral Cysts
AA25,Cerebral Degenerations or Miscellaneous Disorders of Nervous System
AA26,"Muscular, Balance, Cranial or Peripheral Nerve Disorders; Epilepsy; Head Injury"
AA27,Medical Care of Patients with Alzheimer's Disease
AA28,Motor Neuron Disease
AA29,Transient Ischaemic Attack
AA30,Medical Care of Patients with Multiple Sclerosis
AA31,"Headache, Migraine or Cerebrospinal Fluid Leak"
AA32,Neuropsychology Tests with length of stay 2 days or less
AA33,Conventional EEG/EMG/Nerve Conduction Studies with length of stay 2 days or less
AA34,Neurophysiological Operations
AB02,Complex Major Pain Procedures
AB03,Complex Pain Procedures
AB04,Major Pain Procedures
AB05,Intermediate Pain Procedures
AB06,Minor Pain Procedures
AB07,Insertion of Neurostimulator or Intrathecal Drug Delivery Device
AB08,Pain Radiofrequency Treatments
AB09,Other Specified Pain Procedures
AB10,Unspecified Pain Procedures
AB11,Cognitive Behavioural Therapy
BZ01,Enhanced Cataract Surgery
BZ02,Phacoemulsification Cataract Extraction and Lens Implant
BZ03,Non-Phacoemulsification Cataract Surgery
BZ04,Lens Capsulotomy
BZ05,Oculoplastics category 3
BZ06,Oculoplastics category 2
BZ07,Oculoplastics category 1
BZ08,Orbits / Lacrimal category 3
BZ09,Orbits / Lacrimal category 2
BZ10,Orbits / Lacrimal category 1
BZ11,Cornea / Sclera - category 3
BZ12,Cornea / Sclera - category 2
BZ13,Cornea / Sclera - category 1
BZ14,Ocular Motility category 3
BZ15,Ocular Motility category 2
BZ16,Ocular Motility category 1
BZ17,Glaucoma - category 3
BZ18,Glaucoma - category 2
BZ19,Glaucoma - category 1
BZ20,Vitreous Retinal Procedures - category 4
BZ21,Vitreous Retinal Procedures - category 3
BZ22,Vitreous Retinal Procedures - category 2
BZ23,Vitreous Retinal Procedures - category 1
BZ24,Non-Surgical Ophthalmology
CZ01,Minor Mouth or Throat Procedures
CZ02,Intermediate Mouth or Throat Procedures
CZ03,Major Mouth or Throat Procedures
CZ04,Complex Major Mouth or Throat Procedures
CZ05,Tonsillectomy
CZ07,Exteriorisation of Trachea
CZ08,Minor Ear Procedures
CZ09,Intermediate Ear Procedures
CZ10,Major Ear Procedures
CZ11,Complex Major Ear Procedures
CZ12,Minor Nose Procedures
CZ13,Intermediate Nose Procedures
CZ14,Major Nose Procedures
CZ15,Complex Major Nose Procedures
CZ16,Minor Maxillo-Facial Procedures
CZ17,Intermediate Maxillo-Facial Procedures
CZ18,Major Maxillo-Facial Procedures
CZ19,Complex Major Maxillo-Facial Procedures
CZ20,Complex Major Maxillo-Facial Procedures with Restoration
CZ21,"Minor Head, Neck and Ear Disorders"
CZ22,"Intermediate Head, Neck and Ear Disorders"
CZ23,"Major Head, Neck and Ear Disorders"
CZ24,"Complex/Major Head, Neck and Ear Disorders"
CZ25,Cochlear Implants
CZ27,Fixture for Bone Anchored Hearing Aids
CZ28,Fitting of Bone Anchored Hearing Aids
CZ30,Minor Extraction of Tooth
CZ31,Minor Dental Biopsy
CZ32,Dental Fitting or Insertion Procedures
CZ33,Minor Dental Restoration Procedures
CZ34,Minor Dental Procedures
CZ35,Adjustment of Dental Device
CZ36,Dental Excision or Biopsy Procedures
CZ37,Surgical Removal of Tooth
CZ38,Creation of Dental Impression
CZ39,Intermediate Dental Procedures
CZ40,Major Surgical Removal of Tooth
CZ41,Major Dental Procedures
CZ42,Extraction of Multiple Teeth
DZ01,Lung Transplant
DZ02,Complex Thoracic Procedures
DZ03,Major Thoracic Procedures
DZ04,Intermediate Thoracic Procedures
DZ06,Minor Thoracic Procedures
DZ07,Fibre Optic Bronchoscopy
DZ08,Rigid Bronchoscopy
DZ09,Pulmonary Embolus
DZ10,Lung Abscess-Empyema
DZ11,"Lobar, Atypical or Viral Pneumonia"
DZ12,Bronchiectasis
DZ13,Cystic Fibrosis
DZ14,"Pulmonary, Pleural or Other Tuberculosis"
DZ15,Asthma
DZ16,Pleural Effusion
DZ17,Respiratory Neoplasms
DZ18,Sleeping Disorders Affecting Breathing
DZ19,Other Respiratory Diagnoses
DZ20,Pulmonary Oedema
DZ21,Chronic Obstructive Pulmonary Disease or Bronchitis
DZ22,Unspecified Acute Lower Respiratory Infection
DZ23,Bronchopneumonia
DZ24,Inhalation Lung Injury or Foreign Body
DZ25,Fibrosis or Pneumoconiosis
DZ26,Pneumothorax
DZ27,Respiratory Failure
DZ28,Pleurisy
DZ29,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease"
DZ30,Chest Physiotherapy
DZ31,Complex Lung Function Exercise Testing
DZ32,Simple Lung Function Exercise Testing
DZ33,Hyperbaric Oxygen Treatment
DZ34,Complex Bronchodilator Studies
DZ35,Simple Bronchodilator Studies
DZ36,Bronchial Reactivity Studies
DZ37,Non-Invasive Ventilation Support Assessment
DZ38,Oxygen Assessment and Monitoring
DZ39,Complex Gas Exchange Studies
DZ40,Simple Gas Exchange Studies
DZ41,Smoking Cessation Support
DZ42,TB Nurse Support
DZ43,Complex Airflow Studies
DZ44,Simple Airflow Studies
DZ45,Lung Volume Studies
DZ46,Respiratory Muscle Strength Studies
DZ48,Respiratory Drive Studies
DZ49,Respiratory Nurse and AHP Education/Support
DZ50,Respiratory Sleep Study
DZ51,Complex Tuberculosis
EA01,Heart & Lung Transplant
EA02,Heart Transplant
EA03,Pace 1 - Single Chamber or Implantable Diagnostic Device
EA05,Pace 2 - Dual Chamber
EA07,Pace 3 - Biventricular and All Congenital Pacemaker Procedures - Resynchronisation Therapy
EA09,Percutaneous Interventions: Percutaneous Transluminal ASD/VSD/PFO Closure and Valve Insertion
EA10,Percutaneous Interventions: Balloon Valve Intermediate Interventions and Arterial Duct Closure
EA11,"Percutaneous Interventions: Other including Septostomy, Embolisations, Non-Coronary Stents and Energy Moderated Perforation"
EA12,Implantation of Cardioverter - Defibrillator only
EA14,Coronary Artery Bypass Graft (First Time)
EA16,"Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA17,Single Cardiac Valve Procedures
EA19,"Single Cardiac Valve Procedures with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA20,Other Complex Cardiac Surgery and Re-do's
EA22,"Other Complex Cardiac Surgery with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA23,Major Complex Congenital Surgery
EA24,Complex Congenital Surgery
EA25,Intermediate Congenital Surgery
EA26,Standard Congenital Surgery
EA27,Percutaneous Standard EP or Ablation
EA29,Percutaneous Complex Ablation (includes Atrial Fibrillation or Ventricular Tachycardia)
EA31,Percutaneous Coronary Intervention (0-2 Stents)
EA35,Other Percutaneous Interventions
EA36,Catheter
EA39,Pacemaker Procedure without Generator Implant (includes Resiting and Removal of Cardiac Pacemaker System)
EA40,Other Non-Complex Cardiac Surgery
EA43,Implantation of Prosthetic Heart or Ventricular Assist Device
EA44,Minor Cardiac Procedures
EA45,"Complex Echocardiogram (include Congenital, Transoesophageal and Fetal Echocardiography)"
EA47,Electrocardiogram Monitoring and Stress Testing
EA48,"Single or Dual Chamber Pacemaker or Implantable Diagnostic Device with Percutaneous Coronary Intervention, EP or RFA"
EA49,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire"
EA51,Coronary Artery Bypass Graft with Valve Replacement or Repair
EA52,Repair or Replacement of more than one Heart Valve
EA53,Transcatheter Aortic Valve Implantation (TAVI)
EB01,Non-Interventional Acquired Cardiac Conditions
EB02,Endocarditis
EB03,Heart Failure or Shock
EB04,Hypertension
EB05,Cardiac Arrest
EB06,Cardiac Valve Disorders
EB07,Arrhythmia or Conduction Disorders
EB08,Syncope or Collapse
EB09,Non-Interventional Congenital Cardiac Conditions
EB10,Actual or Suspected Myocardial Infarction
FZ01,Complex Oesophageal Procedures
FZ02,Very Major Oesophageal Procedures
FZ04,Very Major Stomach or Duodenum Procedures
FZ05,Major Stomach or Duodenum Procedures
FZ08,Complex Large Intestine Procedures
FZ09,Proximal Colon Procedures
FZ10,Distal Colon Procedures
FZ11,Large Intestine - Major Procedures
FZ12,General Abdominal - Very Major or Major Procedures
FZ13,General Abdominal - Diagnostic Procedures
FZ14,Complex Procedures for Inflammatory Bowel Disease
FZ15,Major Procedures for Inflammatory Bowel Disease
FZ16,Very Major Procedures for Gastrointestinal Bleed
FZ17,Abdominal Hernia Procedures
FZ18,Inguinal Umbilical or Femoral Hernia Repairs
FZ19,Herniotomy Procedures
FZ20,Appendicectomy Procedures
FZ21,Major Anal Procedures
FZ22,Intermediate Anal Procedures
FZ23,Minor Anal Procedures
FZ24,Major Therapeutic Open or Endoscopic Procedures
FZ25,Therapeutic Endoscopic or Intermediate Stomach or Duodenum Procedures
FZ27,Endoscopic or Intermediate General Abdominal Procedures
FZ28,Endoscopic or Intermediate Procedures for Inflammatory Bowel Disease
FZ29,Major or Therapeutic Endoscopic Procedures for Gastrointestinal Bleed
FZ30,Diagnostic Endoscopic or Intermediate Procedures for Gastrointestinal Bleed
FZ31,Disorders of the Oesophagus
FZ33,Small Intestinal Disorders (excluding Inflammatory Bowel Disease)
FZ36,Intestinal Infectious Disorders
FZ37,Inflammatory Bowel Disease
FZ38,Gastrointestinal Bleed
FZ39,Hernia Disorders
FZ40,Appendix Disorders
FZ41,Anal Disorders
FZ42,Wireless Capsule Endoscopy
FZ43,Non-Malignant Stomach or Duodenum Disorders
FZ44,Malignant Stomach or Duodenum Disorders
FZ45,Non-Malignant Large Intestinal Disorders
FZ46,Malignant Large Intestinal Disorders
FZ47,Non-Malignant General Abdominal Disorders
FZ48,Malignant General Abdominal Disorders
FZ49,Disorders of Nutrition
FZ50,Intermediate Large Intestine Procedures 19 years and over
FZ51,Diagnostic Colonoscopy 19 years and over
FZ52,Diagnostic Colonoscopy with biopsy 19 years and over
FZ53,Therapeutic Colonoscopy 19 years and over
FZ54,Diagnostic Flexible Sigmoidoscopy 19 years and over
FZ55,Diagnostic Flexible Sigmoidoscopy with biopsy 19 years and over
FZ56,Therapeutic Flexible Sigmoidoscopy 19 years and over
FZ57,Diagnostic or Therapeutic Rigid Sigmoidoscopy 19 years and over
FZ58,Endoscopic or Intermediate Large Intestine Procedures 18 years and under
FZ59,Intermediate Procedures on the Upper GI Tract 19 years and over
FZ60,Diagnostic Endoscopic Procedures on the Upper GI Tract 19 years and over
FZ61,Diagnostic Endoscopic Procedures on the Upper GI Tract with biopsy 19 years and over
FZ62,Diagnostic and Intermediate Procedures on the Upper GI Tract 18 years and under
FZ63,Combined Upper and Lower GI Tract Diagnostic Endoscopic Procedures
FZ64,Combined Upper and Lower GI Tract Diagnostic Endoscopic Procedures with biopsy
FZ65,Combined Upper and Lower GI Tract Therapeutic Endoscopic Procedures
FZ66,Very Major Small Intestine Procedures 19 years and over
FZ67,Major Small Intestine Procedures 19 years and over
FZ68,Very Major and Major Small Intestine Procedures 18 years and under
GA01,Hepatobiliary Transplant
GA03,Hepatobiliary Procedures category 7
GA04,Hepatobiliary Procedures category 6
GA05,Hepatobiliary Procedures category 5
GA06,Hepatobiliary Procedures category 4
GA07,Hepatobiliary Procedures category 3
GA10,Cholecystectomy
GA11,Pancreatic Necrosectomy
GA12,Multi-Organ and Multiple Transplants
GA13,Hepatobiliary Procedures category 1 or 2
GB01,Endoscopic/Radiology category 4
GB02,Endoscopic/Radiology category 3
GB03,Endoscopic/Radiology category 2
GB04,Endoscopic/Radiology category 1
GB05,Endoscopic Retrograde Cholangiopancreatography category 3
GB06,Endoscopic Retrograde Cholangiopancreatography category 2
GB07,Endoscopic Retrograde Cholangiopancreatography category 1
GC01,Liver Failure Disorders
GC12,Malignant Liver and Pancreatic Disorders
GC15,Non-Malignant Liver Disorders
GC16,Non-Malignant Pancreatic and Biliary Disorders
HA11,Major Hip Procedures category 2 for Trauma
HA12,Major Hip Procedures category 1 for Trauma
HA13,Intermediate Hip Procedures for Trauma
HA14,Minor Hip Procedures for Trauma
HA21,Major Knee Procedures category 2 for Trauma
HA22,Major Knee Procedures category 1 for Trauma
HA23,Intermediate Knee Procedures category 2 for Trauma
HA24,Intermediate Knee Procedures category 1 for Trauma
HA25,Minor Knee Procedures category 2 for Trauma
HA26,Minor Knee Procedures category 1 for Trauma
HA31,Major Foot Procedures for Trauma
HA32,Intermediate Foot Procedures for Trauma category 2
HA33,Intermediate Foot Procedures for Trauma category 1
HA34,Minor Foot Procedures for Trauma category 2
HA35,Minor Foot Procedures for Trauma category 1
HA51,Major Hand Procedures for Trauma category 2
HA52,Major Hand Procedures for Trauma category 1
HA53,Intermediate Hand Procedures for Trauma category 2
HA54,Intermediate Hand Procedures for Trauma category 1
HA55,Minor Hand Procedures for Trauma category 2
HA56,Minor Hand Procedures for Trauma category 1
HA61,Major Shoulder and Upper Arm Procedures for Trauma
HA62,Intermediate Shoulder and Upper Arm Procedures for Trauma
HA63,Minor Shoulder and Upper Arm Procedures for Trauma
HA71,Major Elbow and Lower Arm Procedures for Trauma
HA72,Intermediate Elbow and Lower Arm Procedures for Trauma
HA73,Minor Elbow and Lower Arm Procedures for Trauma
HA81,"Sprains, Strains, or Minor Open Wounds"
HA82,"Major Cranial, Visceral or Blood Vessel Injury"
HA83,Head Injury
HA91,Hip Trauma Diagnosis without Procedure
HA92,Knee Trauma Diagnosis without Procedure
